event,distinct_id,timestamp,properties,uuid
signup_completed,u-1001,2025-10-31T19:00:00Z,"{""email"":""a@example.com"",""plan"":""Free""}",2a1c9e3a-3d6a-4a9a-9a41-111111111111
login,u-1001,2025-10-31T19:10:00Z,"{""method"":""google""}",22222222-3333-4444-5555-000000000001
session_heartbeat,u-1001,2025-10-31T19:10:30Z,"{""seconds_active"":30}",00000000-0000-0000-0000-000000000002
item_uploaded,u-1001,2025-10-31T19:12:00Z,"{""item_id"":""it-u-1001-1"",""category"":""watch""}",00000000-0000-0000-0000-000000000003
engaged_3min,u-1001,2025-10-31T19:13:00Z,"{}",00000000-0000-0000-0000-000000000004
session_end,u-1001,2025-10-31T19:15:15Z,"{""total_seconds"":315}",00000000-0000-0000-0000-000000000005
signup_completed,u-1002,2025-11-01T08:20:00Z,"{""email"":""b@example.com"",""plan"":""Free""}",00000000-0000-0000-0000-000000000006
login,u-1002,2025-11-01T08:35:00Z,"{""method"":""password""}",00000000-0000-0000-0000-000000000007
session_heartbeat,u-1002,2025-11-01T08:35:30Z,"{""seconds_active"":30}",00000000-0000-0000-0000-000000000008
item_uploaded,u-1002,2025-11-01T08:40:00Z,"{""item_id"":""it-u-1002-1"",""category"":""bag""}",00000000-0000-0000-0000-000000000009
upload_quota_near_limit,u-1002,2025-11-01T08:40:10Z,"{""uploads_used"":8,""upload_quota"":10,""percent"":0.8}",00000000-0000-0000-0000-00000000000a
session_end,u-1002,2025-11-01T08:42:10Z,"{""total_seconds"":120}",00000000-0000-0000-0000-00000000000b
signup_completed,u-1003,2025-10-30T22:05:00Z,"{""email"":""c@example.com"",""plan"":""Client Plus""}",00000000-0000-0000-0000-00000000000c
login,u-1003,2025-10-30T22:20:00Z,"{""method"":""google""}",00000000-0000-0000-0000-00000000000d
session_heartbeat,u-1003,2025-10-30T22:20:30Z,"{""seconds_active"":30}",00000000-0000-0000-0000-00000000000e
item_uploaded,u-1003,2025-10-30T22:26:00Z,"{""item_id"":""it-u-1003-1"",""category"":""art""}",00000000-0000-0000-0000-00000000000f
first_upload_completed,u-1003,2025-10-30T22:26:05Z,"{""time_to_first_upload_sec"":1265}",00000000-0000-0000-0000-000000000010
session_end,u-1003,2025-10-30T22:30:15Z,"{""total_seconds"":615}",00000000-0000-0000-0000-000000000011
signup_completed,u-1004,2025-11-02T03:00:00Z,"{""email"":""d@example.com"",""plan"":""Free""}",00000000-0000-0000-0000-000000000012
login,u-1004,2025-11-02T03:05:00Z,"{""method"":""password""}",00000000-0000-0000-0000-000000000013
